taskType,limitTimes,taskName,taskIndicatorsName,goldCoinReward,watchtime
1,5,发文章,发文章,100,
1,5,发健康圈,发健康圈,100,
1,5,发图集,发图集,100,
1,5,发视频,发视频,100,
1,5,发小视频,发小视频,100,
1,5,评论,评论,100,
1,5,收藏,收藏,100,
1,5,点赞,点赞,100,
1,5,站内转发,站内转发,100,
1,5,分享文章,分享文章,100,
1,5,阅读文章,阅读文章,100,5
1,5,观看视频,观看视频,100,5
1,5,观看小视频,观看小视频,100,
1,5,关注用户,关注用户,100,
1,5,提问,提问,100,
1,5,投诉举报,投诉举报,100,
1,5,提建议,提建议,100,
2,1,完善资料,完善资料,500,
2,1,绑定微信,绑定微信,500,
2,1,绑定微博,绑定微博,500,
2,1,身份认证,身份认证,500,
2,1,职业认证,职业认证,500,
2,1,兴趣认证,兴趣认证,500,
2,1,企业认证,企业认证,500,
